夜晚的潜水艇,文学,小说,陈春成,52,2020-9,上海三联书店,8.3,(42871人评价),★《亚洲周刊》2020年度十大小说★豆瓣读书2020年度中国文学（小说类）Top1★2021年宝珀理想国文学奖首奖作品★2020年单向街书店文...
文城,文学,小说,余华,59.00元,2021-3,北京十月文艺出版社,7.9,(37491人评价),【编辑推荐】★时隔八年，余华全新长篇重磅归来！◆人生就是自己的往事和他人的序章时代的洪流推着每个人做出各自的选择。这是一个荒蛮的年代，结束的尚未结束...
房思琪的初恋乐园,文学,小说,林奕含,45.00元,2018-2,北京联合出版公司,9.2,(312689人评价),令人心碎却无能为力的真实故事。向死而生的文学绝唱打动万千读者的年度华语小说。李银河戴锦华骆以军张悦然冯唐詹宏志蒋方舟史航等多位学者作...
大诱拐,文学,小说,[日]天藤真,55.00元,2022-3,新星出版社,8.0,(1590人评价),2013年东西推理BEST100第7位第三十二届日本推理作家协会奖日本幽默推理先驱天藤真一百亿日元的冒险华丽上演笑点密集温情治愈热血沸腾不...
克莱因壶,文学,小说,[日]冈岛二人,48.00元,2019-9,化学工业出版社,8.9,(40245人评价),什么时候你开始怀疑这个世界是假的？.日本虚拟现实VR题材开山杰作，超前《盗梦空间》20年！传奇推理作家组合冈岛二人预言之书，以超强的技术预见力，30...
流俗地,文学,小说,[马来西亚]黎紫书,55,2021-4-1,北京十月文艺出版社,9.2,(3982人评价),《亚洲周刊》2020年十大小说华语文学的惊喜收获王德威×王安忆倾力推荐“黎紫书为当代马华文学注入几分少见的温情”《流俗地》以马来西亚锡都，被...
霍乱时期的爱情,文学,小说,[哥伦比亚]加西亚·马尔克斯,39.50元,2012-9-1,南海出版公司,9.0,(246311人评价),★马尔克斯唯一正式授权，首次完整翻译★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯★这部光芒闪耀、令人心碎的作品是人类有史...
百年孤独,文学,小说,[哥伦比亚]加西亚·马尔克斯,39.50元,2011-6,南海出版公司,9.3,(375750人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
我本芬芳,文学,小说,杨本芬,39.80,2022-2-1,北京联合出版公司,8.3,(6604人评价),世界看不见我，但我看见我。中国式婚姻里，还有多少看不见的女人？继《秋园》《浮木》后，八旬奶奶讲述六十年婚姻故事，写尽那些无人知晓的伤痛与困惑，带给万千女性共...
卡拉马佐夫兄弟,文学,小说,陀思妥耶夫斯基(Ф.М.Достоевский),CNY78.00,2015-2-1,上海译文出版社,9.7,(17538人评价),本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子...
法治的细节,文学,随笔,罗翔,49.8,2021-11,云南人民出版社,8.4,(6860人评价),◎编辑推荐：◇2020年度法治人物、中国政法大学罗翔教授全新法律随笔，解读热点案件，思辨法治要义。◇集结罗翔近两年对法治与社会的观察，论法理、聊读书、谈...
贫穷的质感:王梆的英国观察,文学,随笔,王梆,52.00元,2022-4,上海文艺出版社,8.8,(350人评价),王梆第一部非虚构纪实类作品。她旅居英国十二年，住廉租房，逛二手店，后院种菜、下地劳作，走进乡村社交俱乐部，打入工党内部，采访异乡的普通人……以“英国观察”为...
寻味东西:扶霞美食随笔集,文学,随笔,扶霞·邓洛普,48,2022-4,上海译文出版社,8.0,(449人评价),《鱼翅与花椒》之后跟扶霞一起吃东吃西跨越东西饮食版图打破舌尖上的偏见如果你是一个热爱美食、热爱生活的人，那么扶霞的文字肯定是你的菜。如果你一日三餐味...
俗女养成记,文学,随笔,江鹅,48.00元,2021-10,北京日报出版社,8.4,(4613人评价),豆瓣高分超人气剧集《俗女养成记》同名原著，“陈嘉玲”自传！理直气壮的普普通通，安乐自在的俗女日常，写给每一个普通女孩的情书俗女是一种生活态度，勇敢活出自...
大叔:我们终于可以聊聊走过的路,文学,随笔,马家辉,56.00元,2022-3-31,花城出版社,7.4,(487人评价),这本书是马家辉在中年之际写下的散文集，亦是关于家与行的漫漫记忆。生活、爱情、旅行••••••马家辉将所思所感所悟尽书于此，既是对人生百态的体悟与评述，亦是阶...
梁永安：阅读、游历和爱情,文学,随笔,梁永安,59.00,2022-5-21,北京时代华文书局,7.5,(835人评价),为什么我们活得那么累？为什么我们越来越茫然？为什么我们甚至开始不知道“我是谁”？我们被指责内卷，又被指责躺平；我们被贩卖孤独，又被推销爱情；我们被推向...
日日杂记,文学,随笔,[日]武田百合子,56.00元,2022-5,北京日报出版社,8.6,(76人评价),“我们真的活了好久。我对浮世产生了眷恋。”.一位从未想过从事写作的家庭主妇、作家丈夫的口述笔记员。丈夫去世后，五十二岁以《富士日记》惊现日本文坛。讲...
阅读的方法,文学,随笔,罗振宇,69,2022-4-23,新星出版社,7.8,(1099人评价),罗胖的新书来了！阅读是做一点小努力，对自己很满意从打开《阅读的方法》开始，爱上阅读一点点吧🔷我真诚地向你保证，我从这本书里读到的，是我所知道的...
偶然的创造,文学,随笔,[意大利]埃莱娜·费兰特,75.00元,2022-4,人民文学出版社,8.5,(402人评价),★“那不勒斯四部曲”作者、意大利作家埃莱娜·费兰特唯一的专栏合集★52篇专栏，关于恐惧和嫉妒、成长和衰老、身体与写作、谎言和隐私的隽永书写★顶级插画师安...
圆圈正义:作为自由前提的信念,文学,随笔,罗翔,46.00元,2019-8-26,中国法制出版社,8.1,(10215人评价),"《圆圈正义》一书共收录作者的49篇随笔文章,分为“圆圈正义”“何谓榜样”“道德谴责的打开方式”“身负权力各自珍重”“法律人的理智和多数人的情感”“生命的尊..."
美丽之味:侯麦电影随笔,文学,随笔,[法]埃里克·侯麦,68元,2022-4,中信出版集团,8.8,(41人评价),★法国大师侯麦发表的一系列高质量电影随笔和电影评论的结集，本次为国内首次出版。★本书系统化地体现了侯麦的电影美学及电影哲学观点，内容体系分明，理论严谨，讨...
浮木,文学,随笔,杨本芬,39.80,2021-7-2,北京联合出版公司,8.5,(8017人评价),《浮木》是《秋园》的续集。一位八旬奶奶讲述她和妈妈，以及中南腹地那些家人、亲戚、乡亲们的故事，在那样的年代里，人们像水中的浮木般起起伏伏、随波逐流、挣扎求生...
送你一颗子弹,文学,随笔,刘瑜,25.00元,2010-1,上海三联书店,8.6,(137700人评价),这本书里记录的是作者2005—2009年左右(尤其是2006—2007年)生活里的点点滴滴。在这本书里，被“审视”的东西杂七杂八，有街上的疯老头，有同宿舍的...
可能性的艺术:比较政治学30讲,文学,随笔,刘瑜,82.00元,2022-4,广西师范大学出版社,9.2,(2123人评价),「内容简介」一个和平“爆发”的年代？历史“终结论”的终结？国家能力从何而来？文明的冲突是一个过时的预言？……面对林林总总的政治问题，作者带领我们...
如何带着三文鱼旅行,文学,随笔,[意]翁贝托·埃科,62.00,2022-3-15,上海译文出版社,7.9,(708人评价),“我坚信写作仿讽文学不仅合理，而且根本就是我的神圣责任之所在。”妙趣横生的非典型现代生活指南意大利语直译收录全新篇目意大利百科全书式作家翁贝托•埃科...
创作的基因:我所爱着的MEME们,文学,随笔,[日]小岛秀夫,49.00,2022-5,新星出版社,8.4,(101人评价),创造出《MetalGearSolid》系列、《死亡搁浅》等游戏的天才游戏制作人小岛秀夫，他的惊人创造力来源于对书、电影以及音乐深深的尊敬与热爱。本书对散...
一切境,文学,随笔,庆山,66.00,2021-11-2,人民文学出版社,7.9,(1724人评价),庆山（安妮宝贝）2021年全新散文集。《一切境》留下了庆山近几年生命活动的痕迹与标记。伴随作者数年的日常观察、旅行、阅读和思考，作三言两语的灵光一现的直觉式...
致渐行渐远的朋友,文学,随笔,[日]TBS广播电台“RHYMESTER宇多丸的WeekendShuffle”、[日]TBS广播电台“After6Junction”,68.00元,2022-4,新星出版社,7.6,(153人评价),好久不见，你好吗？从十几岁的少年到四五十岁的中年，60个普通人关于老友的回忆甜蜜或苦涩，内疚或感激，不解或释然，久别重逢或老死不相往来一幕幕让人会心一...
重走:在公路、河流和驿道上寻找西南联大,文学,随笔,杨潇,98.00元,2021-5,上海文艺出版社,9.0,(5033人评价),《重走：在公路、河流和驿道上寻找西南联大》是青年作者杨潇的新作，也是单读出版推出的首部长篇非虚构作品，关于一个不无困惑的写作者徒步重走西南联大西迁路的故事。...
浪游记,文学,随笔,王恺、韩松落、尼佬,88.00元,2022-5,北京大学出版社,8.6,(115人评价),一位是曾跑遍山川的媒体人，一位是深耕文字的作家，一位是行迹遍布海外的旅行家。他们都是“七零后”，也是生活中的朋友，都有一个共同的嗜好——热爱旅行，并热衷于...
同名同姓受害者协会,文学,日本,[日]下村敦史,45,2022-3,文汇出版社,7.4,(5152人评价),【内容简介】你有没有在网上搜索过自己的名字？你有没有想过，自己会因为名字，成为全网追杀的猎物？一起震惊全国的惨案，幼女被连捅二十八刀。凶手的身份保密，...
绝叫,文学,日本,[日]叶真中显,58.00元,2020-7,北京联合出版公司,8.8,(47626人评价),罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”豆瓣「2020年度读书榜单」推理·悬疑类top1！怀才者的自怜是天...
从零开始的女性主义,文学,日本,[日本]上野千鹤子、田房永子,52.00元,2021-9,北京联合出版公司,8.7,(32691人评价),◎日本女性主义理论第一人、《厌女》作者上野千鹤子面向普通读者的女性主义普及课◎女性为何如此艰难？女性如何奋斗至今？又该如何奋斗？◎工作、婚恋、育儿，该...
桶川跟踪狂杀人事件,文学,日本,[日]清水洁,45.00元,2021-2,四川人民出版社,9.0,(24899人评价),推动反跟踪骚扰法案出台的凶杀案件！是谁杀害了一个女孩三次？调查记者全程追踪，直击日本官僚体制的结构性罪恶日本纪实文学金字塔尖之作，日本记者会议大奖作品...
消失的13级台阶,文学,日本,[日]高野和明,42.00元,2020-5-15,上海文艺出版社,8.6,(63243人评价),【内容简介】一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧...
老妓抄,文学,日本,冈本加乃子,65,2022-2,辽宁人民出版社,9.0,(1209人评价),👘【编辑推荐】★个性缭乱×文学生猛×艺术狂气：日本文坛“第一奇女子”、女性先锋、天才作家冈本加乃子杰作精选集在她身上，我看见了属于我们人生道路的光明...
克莱因壶,文学,日本,[日]冈岛二人,48.00元,2019-9,化学工业出版社,8.9,(40245人评价),什么时候你开始怀疑这个世界是假的？.日本虚拟现实VR题材开山杰作，超前《盗梦空间》20年！传奇推理作家组合冈岛二人预言之书，以超强的技术预见力，30...
有恨意但不离婚的妻子们,文学,日本,[日]小林美希,49.80元,2022-3,中信出版集团,7.3,(1495人评价),【内容提要】朝日新闻：2014年，丈夫坦白36年前的出轨后，遭70岁妻子殴打致死日本网络：在搜索引擎搜“丈夫”，最先自动显示的关联词是“去死”小林美希...
厌女:日本的女性嫌恶,文学,日本,上野千鹤子,28.00元,2015-1,上海三联书店,9.1,(40500人评价),《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行...
さよなら絵梨,文学,日本,藤本タツキ,46,2022-4-11,藤本タツキ,8.9,(2779人评价),病の母が死ぬまで、スマートフォンで撮影をしていた優太。彼は母の死後、自殺をするために向かった病院の屋上で、とある少女に出会い、映画を撮影することになるのだが...
东京贫困女子,文学,日本,[日]中村淳彦,59.00元,2021-8,人民文学出版社,8.3,(8992人评价),■	入围2019年日本书店大赏。■	日本著名音乐人、演员坂本龙一推荐。■内容介绍◇	原本刊载于日本《东洋经济新闻》，是一个以《在贫困中呻吟的女性》为题...
大诱拐,文学,日本,[日]天藤真,55.00元,2022-3,新星出版社,8.0,(1590人评价),2013年东西推理BEST100第7位第三十二届日本推理作家协会奖日本幽默推理先驱天藤真一百亿日元的冒险华丽上演笑点密集温情治愈热血沸腾不...
爱丽丝罪恶奇境,文学,日本,[日]早坂吝,42,2022-4,文汇出版社,7.0,(1387人评价),【内容简介】欢迎来到“爱丽丝罪恶奇境”!10岁生日当天，爱丽丝跟着白兔加入了一场致命游戏，若想离开游戏中的罪恶奇境，她必须在24小时内破解5道难解谜题...
字母表谜案,文学,日本,大山诚一郎,42.00元,2021-5,河南文艺出版社,7.6,(28591人评价),一座神秘的公寓，不定期举行推理合战。红茶、曲奇，搭配寒意逼人的谜案，与案件相关的字母似乎是重要线索。一群特殊的房客，联手组成侦探团，秘密追踪警视厅也难以锁定...
山茶文具店,文学,日本,[日]小川糸,49.80,2018-3,湖南文艺出版社,8.3,(42086人评价),★日本全国700多家书店店员投票选出的最想卖的书！2016、2017连续两年获日本“书店大奖”重推！★日本畅销作家小川糸备受好评暖心之作。16封手写书信...
第一人称单数,文学,日本,[日]村上春树,56.00,2021-11,文治图书·花城出版社,7.4,(9708人评价),睽违六年！村上春树2021全新短篇小说集《第一人称单数》。11.18全网现货发售！当世界不断变迁，唯有故事留住刹那光景。8篇第一人称叙事小说，重现村上式...
白夜行,文学,日本,[日]东野圭吾,39.50元,2013-1-1,南海出版公司,9.2,(394146人评价),东野圭吾万千书迷心中的无冕之王周刊文春推理小说年度BEST10第1名本格推理小说年度BEST10第2名《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备...
Blue,文学,日本,[日]叶真中显,58.00元,2021-7,新星出版社,7.9,(5442人评价),★内容介绍有一个人出生在平成开始的日子，死于平成结束的日子。母亲说他出生时窗外一片蓝天，所以给他取名青，也唤作Blue。——可是那天东京整日阴雨，看不...
被讨厌的勇气:“自我启发之父”阿德勒的哲学课,文学,日本,岸见一郎、古贺史健,39.8,2015-3-1,机械工业出版社,8.6,(95514人评价),「被讨厌的勇气」并不是要去吸引被讨厌的负向能量，而是，如果这是我生命想绽放出最美的光彩，那么，即使有被讨厌的可能，我都要用自己的双手双脚往那里走去。」「因...
醉步男,文学,日本,[日]小林泰三,49.00,2019-10-1,北京时代华文书局,8.4,(21190人评价),本书收录时间旅行小说《醉步男》+日式恐怖小说《玩具修理者》。——————————————血沼，我以后大概都不会和你相遇了。话没说完，小竹田在我眼前消失...
秋园,文学,文学,杨本芬,38.00元,2020-6,北京联合出版公司,9.0,(40579人评价),听八旬奶奶讲述她和妈妈的故事。1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的...
文学课,文学,文学,[阿根廷]胡里奥·科塔萨尔,69.00元,2022-2,南海出版公司,9.0,(228人评价),★拉美文学巨匠胡里奥·科塔萨尔打破常规的大师文学课简体中文首度引进★加西亚·马尔克斯、聂鲁达、萨拉马戈、略萨、莫言5位诺贝尔文学奖得主齐声推崇的作...
生死疲劳,文学,文学,莫言,69.90,2022-1,浙江文艺出版社,9.1,(8722人评价),◆不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。◆莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”◆不...
鹿川有许多粪,文学,文学,李沧东,58.00元,2021-8,武汉大学出版社,9.0,(14169人评价),豆瓣2021年度读书榜单“年度外国文学（小说类）”“年度高分图书”“豆瓣书店最受欢迎图书”李沧东封笔之作直面错综复杂的生活本身，探索真正价值的可能...
活着,文学,文学,余华,20.00元,2012-8-1,作家出版社,9.4,(694904人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
莫言的奇奇怪怪故事集,文学,文学,莫言,59.9,2022-3-21,江苏凤凰文艺出版社,8.8,(681人评价),或许只有莫言这么大的脑洞，才能带你去人性深幽处探险！莫言亲自参与编选的中短篇集，收录莫言笔下最奇怪的18篇故事！本书充满了瑰丽的想象，读来仿佛在听爷爷奶奶...
百年孤独,文学,文学,[哥伦比亚]加西亚·马尔克斯,39.50元,2011-6,南海出版公司,9.3,(375750人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
1984,文学,文学,[英]乔治·奥威尔,28.00,2010-4-1,北京十月文艺出版社,9.4,(240696人评价),★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的10...
夜晚的潜水艇,文学,文学,陈春成,52,2020-9,上海三联书店,8.3,(42871人评价),★《亚洲周刊》2020年度十大小说★豆瓣读书2020年度中国文学（小说类）Top1★2021年宝珀理想国文学奖首奖作品★2020年单向街书店文...
悉达多:一首印度的诗,文学,文学,[德]赫尔曼·黑塞,32.00元,2017-1,天津人民出版社,9.4,(32880人评价),《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找...
书籍秘史,文学,文学,[西班牙]伊莲内·巴列霍,98.00元,2022-4,湖南文艺出版社,8.8,(146人评价),♡一本写给所有爱书人的情书♡♡走到时间与想象的尽头，深情讲述与书籍有关的传奇♡西班牙现象级口碑书，2020年荣获西班牙最高文学奖项——国家散文奖！诺贝...
我本芬芳,文学,文学,杨本芬,39.80,2022-2-1,北京联合出版公司,8.3,(6604人评价),世界看不见我，但我看见我。中国式婚姻里，还有多少看不见的女人？继《秋园》《浮木》后，八旬奶奶讲述六十年婚姻故事，写尽那些无人知晓的伤痛与困惑，带给万千女性共...
老妓抄,文学,文学,冈本加乃子,65,2022-2,辽宁人民出版社,9.0,(1209人评价),👘【编辑推荐】★个性缭乱×文学生猛×艺术狂气：日本文坛“第一奇女子”、女性先锋、天才作家冈本加乃子杰作精选集在她身上，我看见了属于我们人生道路的光明...
必有人重写爱情:北岛作品,文学,文学,北岛,78.00元,2022-4,海南出版社,9.4,(355人评价),内容简介：《必有人重写爱情》是著名诗人北岛的作品精选集，46篇经典诗歌与散文作品，呈现诗人、散文家、画者、摄影者北岛的创作全貌。“一诗一文”的编排特色，如...
流俗地,文学,文学,[马来西亚]黎紫书,55,2021-4-1,北京十月文艺出版社,9.2,(3982人评价),《亚洲周刊》2020年十大小说华语文学的惊喜收获王德威×王安忆倾力推荐“黎紫书为当代马华文学注入几分少见的温情”《流俗地》以马来西亚锡都，被...
克拉拉与太阳,文学,文学,[英]石黑一雄,68.00,2021-3,上海译文出版社,8.2,(33910人评价),“太阳总有办法照到我们，不管我们在哪里。”~克拉拉是一个专为陪伴儿童而设计的太阳能人工智能机器人（AF），具有极高的观察、推理与共情能力。她坐在商店展示...
至少还有文学,文学,文学,宗城,49.80,2022-3,北京十月文艺出版社,8.5,(235人评价),三十位世界级作家的故事，一个广阔的文学世界95后新人作家宗城首部文学随笔集《至少还有文学》收录了95后新人作家宗城在2018年至2021年间创作的三十篇...
房思琪的初恋乐园,文学,文学,林奕含,45.00元,2018-2,北京联合出版公司,9.2,(312689人评价),令人心碎却无能为力的真实故事。向死而生的文学绝唱打动万千读者的年度华语小说。李银河戴锦华骆以军张悦然冯唐詹宏志蒋方舟史航等多位学者作...
局外人,文学,文学,[法]阿尔贝·加缪,22.00元,2010-8,上海译文出版社,9.1,(197363人评价),《局外人》是法国作家加缪的成名作，同时也是存在主义文学的杰出作品之一，该书以一种客观记录式的“零度风格”，粗线条地描述了主人公默尔索在荒谬的世界中经历的种种...
献给阿尔吉侬的花束,文学,文学,[美]丹尼尔·凯斯,36.00元,2015-4,广西师范大学出版社,9.1,(62400人评价),声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后...
大叔:我们终于可以聊聊走过的路,文学,散文,马家辉,56.00元,2022-3-31,花城出版社,7.4,(487人评价),这本书是马家辉在中年之际写下的散文集，亦是关于家与行的漫漫记忆。生活、爱情、旅行••••••马家辉将所思所感所悟尽书于此，既是对人生百态的体悟与评述，亦是阶...
人间有所寄,文学,散文,卞毓方、王蒙、阿来、刘亮程、张炜、肖复兴、韩少功、周晓枫、苏沧桑、冯积岐、刘江滨、张丽钧、刘世芬、阿微木依萝、明前茶、杨清汀、郑世忠、刘荒田、陆梅、贾志红、丰意青、张亚凌、程则尔、王国华、董改正、绿窗、嘉熙、高寒、奚学瑶、李修文、朱成玉、陈世旭、张佳玮、玄武、浇洁、胡晓明、胡竹峰、许静、虞燕、周纪鸿、林江东、刘云霞、刘诚龙、丰南颖、徐海蛟、李晓君,59.80元,2022-4,江苏凤凰文艺出版社,9.0,(134人评价),本书是王蒙、张炜、阿来、肖复兴、韩少功、刘亮程、周晓枫、苏沧桑等46位当代著名作家和文学实力新人联手创作的解读“人生幸福，寄于有所深情与热爱”的散文集。这些...
阿勒泰的角落,文学,散文,李娟,36.00,2013-9-1,新星出版社,8.9,(10584人评价),若无意指认那在伤感中徘徊、欲望中沉浮的生命就是我们本来的生命，那么，总还有别样干净明亮的生命，等着人去认领。这个时代，如果还有一个地方有传说，就是阿勒泰；...
日日杂记,文学,散文,[日]武田百合子,56.00元,2022-5,北京日报出版社,8.6,(76人评价),“我们真的活了好久。我对浮世产生了眷恋。”.一位从未想过从事写作的家庭主妇、作家丈夫的口述笔记员。丈夫去世后，五十二岁以《富士日记》惊现日本文坛。讲...
必有人重写爱情:北岛作品,文学,散文,北岛,78.00元,2022-4,海南出版社,9.4,(355人评价),内容简介：《必有人重写爱情》是著名诗人北岛的作品精选集，46篇经典诗歌与散文作品，呈现诗人、散文家、画者、摄影者北岛的创作全貌。“一诗一文”的编排特色，如...
人间草木,文学,散文,汪曾祺,20.00元,2005-01,江苏文艺出版社,9.2,(25309人评价),"《人间草木》(汪曾祺著)是汪曾祺优秀的散文集。当代文坛上,能同时在小说和散文两块田地里经营,且自成一家的并不多,汪曾祺先生算是其中的一个。汪曾祺先生是公认的..."
遥远的向日葵地,文学,散文,李娟,38.00元,2017-11,花城出版社,9.1,(17349人评价),此书为李娟近两年开始写作并发表在《文汇报》笔会的专栏——“遥远的向日葵地”的最新文字结集。“向日葵地”在阿勒泰戈壁草原的乌伦古河南岸，是李娟母亲多年前承包...
我与地坛,文学,散文,史铁生,23.00元,2011-1-1,人民文学出版社,9.3,(27065人评价),《我与地坛》收入《我与地坛》、《记忆与印象》等以记事为主的散文，配少量图片。《我与地坛》由中国当代著名作家史铁生著。是史铁生文学作品中，充满哲思又极为人性化...
撒哈拉的故事,文学,散文,三毛,15.80元,2003-8,哈尔滨出版社,9.2,(139973人评价),三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后...
冬牧场,文学,散文,李娟,29.80元,2012-6,新星出版社,9.1,(27631人评价),文坛清新之风，阿勒泰的精灵李娟首部长篇纪实散文力作四个月、零距离、全程记述哈萨克民族冬牧场的点点滴滴！春天接羔，夏天催膘，秋天配种，冬天孕育。羊的一生...
岁月忽已晚，灯火要人归,文学,散文,丰子恺,56.00元,2022-3,甘肃人民出版社,8.9,(114人评价),精选丰子恺40篇与家庭、儿童、成长、美育有关的散文，分为“做父亲”“天真世界”“家人和乐”“认识世间相”“美与同情”五个章节，文章铺述着丰沛的温情，用艺术吟...
微尘,文学,散文,陈年喜,58.00元,2021-5,天津人民出版社,8.4,(4224人评价),我见过的不幸太多了，从来没有沮丧过。——陈年喜这本书收录了陈年喜21篇非虚构故事集。书中写了一群平凡而朴素的劳动者的故事。他们是爆破工、运石工、乡村...
朝花夕拾,文学,散文,鲁迅,0.25元,1973-4,人民文学出版社,8.9,(129805人评价),《小引》《狗·猫·鼠》《阿长与山海经》《二十四孝图》《五猖会》《无常》《从百草园到三味书屋》《父亲的病》《琐记》《藤野先生》《范爱农》...
正是橙黄橘绿时,文学,散文,肖复兴,48.00,2022-3,北京联合出版公司,9.3,(136人评价),人生不一定要远行，手边的光阴，也一样有你想要的答案；人生不一定要有珍馐美味，一顿家常菜，也能开心一整年；人生未必要遇见多么伟大的友谊，一位平常的故人，也...
我的阿勒泰,文学,散文,李娟,36.80,2018-8,长江文艺出版社,8.7,(6261人评价),李娟的散文成名作和代表作之一。原生态记录了作者在疆北阿勒泰地区生活的点点滴滴，包括人与事的记忆和感悟。全书文字明净，质地纯粹，原生态地再现了疆北风物人情，充...
密西西比河某处,文学,散文,于坚,86,2022-1-1,北京十月文艺出版社,9.2,(151人评价),密西西比河渗透了美国，通过暗藏在岩层深处的潮湿末梢，也通过威廉·福克纳。这个密西西比河某处的居民，像一种颜色很深的水，他进入密西西比河，那河流的灰度增加了...
